City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Ocos,GT,87.98,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
7,Rikitea,PF,78.17,clear sky,-23.1203,-134.9692,People ThankYou
8,Kavaratti,IN,81.66,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
12,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
16,San Policarpo,PH,80.8,heavy intensity rain,12.1791,125.5072,Agapita M. Nicart
23,Boulder City,US,85.59,clear sky,35.9786,-114.8325,Boulder Dam Hotel
35,Santo Antonio Do Taua,BR,76.95,moderate rain,-1.1519,-48.1294,Pousada Magno
39,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Alofi,NU,80.49,thunderstorm,-19.0595,-169.9187,Taloa Heights
52,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
54,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
57,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
58,San Andres,CO,84.22,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
60,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
64,Hithadhoo,MV,82.45,scattered clouds,-0.6,73.0833,Scoop Guest House
69,Butaritari,KI,81.84,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
71,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
72,Queimadas,BR,79.47,scattered clouds,-10.9783,-39.6264,Hotel Mandala
73,San Cosme Y Damian,PY,75.38,broken clouds,-27.3167,-56.35,Posada Turística Aguapey
78,Umm Lajj,SA,78.93,overcast clouds,25.0213,37.2685,Moon light Furnished Units
81,Asyut,EG,77.18,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
83,Arlit,NE,85.33,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
87,Lamu,KE,79.88,scattered clouds,-2.2717,40.902,Lamu House
90,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
93,Itumbiara,BR,75.27,clear sky,-18.4192,-49.2153,Itumbiara Palace Hotel
95,Japaratuba,BR,81.68,few clouds,-10.5933,-36.9403,Pousada Japaratuba
96,Cap Malheureux,MU,79.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
98,Atuona,PF,79.72,clear sky,-9.8,-139.0333,Villa Enata
100,Vao,NC,79.09,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
102,Cabo San Lucas,MX,78.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
107,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
110,Padang,ID,77.65,overcast clouds,-0.9492,100.3543,Mercure Padang
111,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
112,Sur,OM,79.77,few clouds,22.5667,59.5289,Sur Plaza Hotel
115,Minuwangoda,LK,78.73,scattered clouds,7.1663,79.9533,Relax garden city hotel
116,Biak,ID,76.98,overcast clouds,-0.9131,122.8766,Penginapan Kim
120,Simplicio Mendes,BR,80.33,scattered clouds,-7.8539,-41.9103,Fidalgo
122,Piacabucu,BR,77.22,clear sky,-10.4056,-36.4344,Piaçabuçu News
131,Kandiari,PK,84.02,overcast clouds,26.9156,68.5216,Birohi Tailors
133,Auki,SB,82.36,overcast clouds,-8.7676,160.7034,Auki Motel
134,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
144,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
145,Hilo,US,75.25,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
150,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
151,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
153,Buraydah,SA,77.45,scattered clouds,26.326,43.975,Mövenpick Qassim
154,Mutis,CO,79.99,light rain,6.2262,-77.4044,Paraiso Escondido
160,Esmeraldas,BR,77.86,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
161,Morro Bay,US,81.25,broken clouds,35.3658,-120.8499,Inn at Morro Bay
162,Santa Cruz Del Sur,CU,79.65,light rain,20.7147,-77.9956,
163,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
172,Mana,GF,77.25,overcast clouds,5.6592,-53.7767,LE SAMANA
175,Isangel,VU,84.11,overcast clouds,-19.55,169.2667,Tanna Lodge
182,Lazaro Cardenas,MX,79.65,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
183,Saint George,US,80.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
185,Itarema,BR,77.0,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
188,Yenagoa,NG,78.8,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
190,Bosaso,SO,79.83,clear sky,11.2842,49.1816,Red Sea Hotel
