City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Salamiyah,SY,35.0113,37.0532,58.42,34,18,5.12,few clouds
1,Chokurdakh,RU,70.6333,147.9167,-10.41,97,83,8.7,broken clouds
2,Zhigansk,RU,66.7697,123.3711,-3.1,93,85,14.83,overcast clouds
3,Verkhoyansk,RU,67.5447,133.385,-6.29,99,96,1.21,overcast clouds
4,Viedma,AR,-40.8135,-62.9967,61.48,35,30,10.2,scattered clouds
5,Pevek,RU,69.7008,170.3133,-12.5,94,35,4.7,scattered clouds
6,Ocos,GT,14.5094,-92.1933,87.98,65,1,9.89,clear sky
7,Rikitea,PF,-23.1203,-134.9692,78.17,61,5,11.34,clear sky
8,Kavaratti,IN,10.5669,72.642,81.66,76,50,5.14,scattered clouds
9,Trojes,AL,41.756,19.962,41.49,89,100,4.21,overcast clouds
10,Ponta Do Sol,PT,32.6667,-17.1,57.83,74,63,10.67,broken clouds
11,Qaanaaq,GL,77.484,-69.3632,25.39,73,100,7.83,overcast clouds
12,Vaini,TO,-21.2,-175.2,78.96,78,75,10.36,broken clouds
13,Albany,US,42.6001,-73.9662,48.61,54,100,5.99,overcast clouds
14,Torbay,CA,47.6666,-52.7314,36.28,95,100,18.41,light rain
15,Bardsir,IR,29.9227,56.5743,60.08,18,14,7.54,few clouds
16,San Policarpo,PH,12.1791,125.5072,80.8,85,100,17.56,heavy intensity rain
17,Shingu,JP,33.7333,135.9833,52.34,45,3,3.06,clear sky
18,Lagoa,PT,39.05,-27.9833,59.0,70,99,8.59,overcast clouds
19,Belvedere Marittimo,IT,39.6179,15.8617,49.12,81,100,8.99,overcast clouds
20,Rocha,UY,-34.4833,-54.3333,52.34,60,0,4.79,clear sky
21,Ancud,CL,-41.8697,-73.8203,56.23,95,100,11.99,light rain
22,Minab,IR,27.1467,57.0801,66.52,42,14,0.0,few clouds
23,Boulder City,US,35.9786,-114.8325,85.59,7,0,6.91,clear sky
24,Dikson,RU,73.5069,80.5464,2.88,86,55,14.09,broken clouds
25,Aklavik,CA,68.2191,-135.0107,-7.91,85,100,9.86,overcast clouds
26,Busselton,AU,-33.65,115.3333,52.23,81,0,9.31,clear sky
27,Mar Del Plata,AR,-38.0023,-57.5575,63.09,72,0,5.75,clear sky
28,Santa Maria,BR,-29.6842,-53.8069,69.1,94,75,1.14,broken clouds
29,Pilar Do Sul,BR,-23.8131,-47.7164,70.2,88,74,2.3,moderate rain
30,Tasiilaq,GL,65.6145,-37.6368,17.76,91,99,8.23,overcast clouds
31,Bismarck,US,46.8083,-100.7837,55.24,47,0,24.16,clear sky
32,Tiksi,RU,71.6872,128.8694,-5.78,100,100,4.81,overcast clouds
33,Ushuaia,AR,-54.8,-68.3,35.26,93,40,20.71,scattered clouds
34,Bengkulu,ID,-3.8004,102.2655,74.93,83,75,4.7,broken clouds
35,Santo Antonio Do Taua,BR,-1.1519,-48.1294,76.95,97,100,3.04,moderate rain
36,Carnarvon,AU,-24.8667,113.6333,69.87,88,0,11.5,clear sky
37,Ust-Kuyga,RU,70.0167,135.6,-10.26,99,100,3.06,overcast clouds
38,Boyolangu,ID,-8.1181,111.8935,74.62,91,14,0.65,few clouds
39,Puerto Ayora,EC,-0.7393,-90.3518,78.76,96,66,8.01,broken clouds
40,Nguruka,TZ,-5.1092,31.0419,64.31,95,60,3.42,broken clouds
41,Mildura,AU,-34.2,142.15,63.07,63,0,0.0,clear sky
42,Teeli,RU,51.0333,90.2333,36.27,65,71,3.4,broken clouds
43,Smithers,CA,54.7804,-127.1743,39.52,52,75,5.75,broken clouds
44,Alofi,NU,-19.0595,-169.9187,80.49,78,75,5.75,thunderstorm
45,East London,ZA,-33.0153,27.9116,65.28,80,36,7.96,scattered clouds
46,Yellowknife,CA,62.456,-114.3525,41.52,48,75,13.8,broken clouds
47,Cherskiy,RU,68.75,161.3,-6.0,91,66,1.63,broken clouds
48,Saskylakh,RU,71.9167,114.0833,-6.09,98,99,7.96,overcast clouds
49,Hobart,AU,-42.8794,147.3294,57.06,73,75,11.5,broken clouds
50,Chuy,UY,-33.6971,-53.4616,57.33,60,19,7.27,few clouds
51,Atambua,ID,-9.1061,124.8925,74.41,82,41,2.42,scattered clouds
52,Georgetown,MY,5.4112,100.3354,78.73,92,20,3.44,few clouds
53,Barrow,US,71.2906,-156.7887,-5.78,71,100,18.41,light snow
54,Salalah,OM,17.0151,54.0924,78.89,83,40,1.14,scattered clouds
55,Khatanga,RU,71.9667,102.5,-28.89,100,44,4.18,scattered clouds
56,Provideniya,RU,64.3833,-173.3,10.51,61,0,22.37,clear sky
57,Vila Velha,BR,-20.3297,-40.2925,80.55,86,75,5.75,broken clouds
58,San Andres,CO,12.5847,-81.7006,84.22,70,100,12.66,overcast clouds
59,New Norfolk,AU,-42.7826,147.0587,56.7,75,100,1.01,overcast clouds
60,Port Blair,IN,11.6667,92.75,78.84,89,20,2.3,mist
61,Ballina,AU,-28.8667,153.5667,73.02,91,2,6.91,clear sky
62,Nikolskoye,RU,59.7035,30.7861,34.79,97,100,11.36,overcast clouds
63,Jamestown,US,42.097,-79.2353,43.52,47,100,6.91,overcast clouds
64,Hithadhoo,MV,-0.6,73.0833,82.45,69,25,2.84,scattered clouds
65,Komsomolskiy,UZ,40.4272,71.7189,59.72,47,0,9.22,clear sky
66,Panaba,MX,21.2833,-88.2667,92.97,33,5,19.33,clear sky
67,Khorramabad,IR,33.4878,48.3558,51.42,50,0,6.91,clear sky
68,Taltal,CL,-25.4,-70.4833,66.43,70,21,4.65,few clouds
69,Butaritari,KI,3.0707,172.7902,81.84,79,40,14.47,scattered clouds
70,Bredasdorp,ZA,-34.5322,20.0403,60.51,78,17,8.12,few clouds
71,Kapaa,US,22.0752,-159.319,80.58,69,75,16.11,broken clouds
72,Queimadas,BR,-10.9783,-39.6264,79.47,57,41,9.8,scattered clouds
73,San Cosme Y Damian,PY,-27.3167,-56.35,75.38,88,72,6.11,broken clouds
74,Kosh-Agach,RU,50.0,88.6667,22.5,81,74,3.18,broken clouds
75,Sitka,US,57.0531,-135.33,46.29,61,20,9.22,few clouds
76,Esperance,AU,-33.8667,121.9,58.84,76,77,16.04,broken clouds
77,Maryville,US,35.7565,-83.9705,71.85,24,100,9.22,overcast clouds
78,Umm Lajj,SA,25.0213,37.2685,78.93,47,89,6.98,overcast clouds
79,Sisimiut,GL,66.9395,-53.6735,23.9,97,17,2.64,few clouds
80,Arman,RU,59.7,150.1667,21.02,90,100,13.51,snow
81,Asyut,EG,27.181,31.1837,77.18,12,0,4.63,clear sky
82,Bluff,NZ,-46.6,168.3333,59.85,77,100,7.43,light rain
83,Arlit,NE,18.7369,7.3853,85.33,6,100,3.58,overcast clouds
84,Mataura,NZ,-46.1927,168.8643,65.26,56,100,2.93,overcast clouds
85,Pacific Grove,US,36.6177,-121.9166,69.58,72,0,10.0,clear sky
86,Vostok,RU,46.4856,135.8833,41.31,76,98,5.01,overcast clouds
87,Lamu,KE,-2.2717,40.902,79.88,82,44,9.1,scattered clouds
88,Fortuna,US,40.5982,-124.1573,55.92,95,100,8.05,overcast clouds
89,Lock Haven,US,41.137,-77.4469,51.91,42,98,3.53,overcast clouds
90,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,83,0,9.22,clear sky
91,Dolgorukovo,RU,52.3195,38.3453,29.64,81,58,7.36,broken clouds
92,Barth,DE,54.3635,12.7249,42.1,61,52,32.01,broken clouds
93,Itumbiara,BR,-18.4192,-49.2153,75.27,64,0,2.82,clear sky
94,Rawson,AR,-43.3002,-65.1023,64.87,33,12,7.9,few clouds
95,Japaratuba,BR,-10.5933,-36.9403,81.68,80,11,4.97,few clouds
96,Cap Malheureux,MU,-19.9842,57.6142,79.47,84,95,3.0,overcast clouds
97,Thompson,CA,55.7435,-97.8558,42.96,39,20,6.91,few clouds
98,Atuona,PF,-9.8,-139.0333,79.72,74,7,22.24,clear sky
99,Kuryk,KZ,43.2,51.65,49.51,69,72,9.6,broken clouds
100,Vao,NC,-22.6667,167.4833,79.09,84,100,16.64,overcast clouds
101,San Jeronimo,PE,-11.9472,-75.2829,52.25,83,81,3.96,broken clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,78.62,61,0,8.05,clear sky
103,Margate,GB,51.3813,1.3862,54.1,79,100,5.99,overcast clouds
104,Vawkavysk,BY,53.1561,24.4513,34.68,77,100,24.29,overcast clouds
105,Geraldton,AU,-28.7667,114.6,64.81,82,0,11.5,clear sky
106,Lebu,CL,-37.6167,-73.65,55.44,79,34,16.98,scattered clouds
107,Oranjestad,AW,12.524,-70.027,82.35,74,20,24.16,few clouds
108,Capreol,CA,46.706,-80.9225,39.67,60,100,4.61,overcast clouds
109,Petauke,ZM,-14.2426,31.3253,64.65,97,77,4.05,moderate rain
110,Padang,ID,-0.9492,100.3543,77.65,76,100,3.24,overcast clouds
111,Saint-Georges,GD,12.0564,-61.7485,83.88,65,20,18.41,few clouds
112,Sur,OM,22.5667,59.5289,79.77,54,22,12.66,few clouds
113,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,70,40,8.05,scattered clouds
114,Punta Arenas,CL,-53.15,-70.9167,39.31,75,40,24.16,scattered clouds
115,Minuwangoda,LK,7.1663,79.9533,78.73,100,40,4.61,scattered clouds
116,Biak,ID,-0.9131,122.8766,76.98,83,99,5.91,overcast clouds
117,Saint-Philippe,RE,-21.3585,55.7679,74.79,87,93,10.38,light rain
118,Muroto,JP,33.2833,134.15,55.45,61,3,4.97,clear sky
119,Kruisfontein,ZA,-34.0033,24.7314,60.89,74,0,11.27,clear sky
120,Simplicio Mendes,BR,-7.8539,-41.9103,80.33,50,42,2.39,scattered clouds
121,Cidreira,BR,-30.1811,-50.2056,69.82,88,99,8.81,overcast clouds
122,Piacabucu,BR,-10.4056,-36.4344,77.22,76,3,6.35,clear sky
123,Kraainem,BE,50.8615,4.4695,49.55,94,100,19.57,overcast clouds
124,Ambanja,MG,-13.6833,48.45,73.53,93,12,3.62,few clouds
125,Grenaa,DK,56.4158,10.8783,37.62,93,95,25.81,moderate rain
126,Pisco,PE,-13.7,-76.2167,71.65,68,0,12.66,clear sky
127,Safita,SY,34.8205,36.1153,60.94,31,11,4.16,few clouds
128,Egvekinot,RU,66.3167,-179.1667,-7.8,84,18,18.03,few clouds
129,Okhotsk,RU,59.3833,143.3,25.27,88,100,13.51,light snow
130,Kaeo,NZ,-35.1,173.7833,68.32,96,99,8.3,overcast clouds
131,Kandiari,PK,26.9156,68.5216,84.02,23,99,7.11,overcast clouds
132,Inta,RU,66.0317,60.1659,3.34,100,64,6.78,broken clouds
133,Auki,SB,-8.7676,160.7034,82.36,82,98,8.77,overcast clouds
134,Avarua,CK,-21.2078,-159.775,82.45,74,100,3.44,overcast clouds
135,Cape Town,ZA,-33.9258,18.4232,62.89,87,75,12.66,broken clouds
136,Nemuro,JP,43.3236,145.575,39.72,86,1,12.86,clear sky
137,Port Macquarie,AU,-31.4333,152.9167,71.89,64,0,5.77,clear sky
138,Bilibino,RU,68.0546,166.4372,0.84,71,29,3.06,scattered clouds
139,Ostrovnoy,RU,68.0531,39.5131,13.48,92,68,10.54,broken clouds
140,Narsaq,GL,60.9167,-46.05,48.42,77,100,3.49,overcast clouds
141,Yulara,AU,-25.2406,130.9889,58.84,33,2,5.75,clear sky
142,Det Udom,TH,14.906,105.0784,66.02,80,20,5.93,few clouds
143,Severo-Kurilsk,RU,50.6789,156.125,36.43,90,5,7.36,clear sky
144,Bairiki,KI,1.3292,172.9752,86.0,74,20,8.05,few clouds
145,Hilo,US,19.7297,-155.09,75.25,83,100,1.01,light rain
146,Alice Springs,AU,-23.7,133.8833,69.22,32,0,0.0,clear sky
147,Imbituba,BR,-28.24,-48.6703,71.82,92,100,5.39,overcast clouds
148,Talnakh,RU,69.4865,88.3972,-4.04,89,65,8.66,broken clouds
149,Port Elizabeth,ZA,-33.918,25.5701,63.1,81,0,6.91,clear sky
150,Kahului,US,20.8947,-156.47,82.42,62,40,27.63,scattered clouds
